project_id,project_type,source
ACR214,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR221,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR222,avoided grassland conversion,berkeley carbon trading project
ACR223,oil recycling,berkeley carbon trading project
ACR224,wind,berkeley carbon trading project
ACR225,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR226,mine methane capture,berkeley carbon trading project
ACR227,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR228,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR229,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR230,rice emission reductions,berkeley carbon trading project
ACR232,manure methane digester,berkeley carbon trading project
ACR233,manure methane digester,berkeley carbon trading project
ACR234,manure methane digester,berkeley carbon trading project
ACR235,manure methane digester,berkeley carbon trading project
ACR236,manure methane digester,berkeley carbon trading project
ACR237,improved forest management,berkeley carbon trading project
ACR238,manure methane digester,berkeley carbon trading project
ACR239,manure methane digester,berkeley carbon trading project
ACR240,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR241,manure methane digester,berkeley carbon trading project
ACR242,mine methane capture,berkeley carbon trading project
ACR243,mine methane capture,berkeley carbon trading project
ACR244,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR245,afforestation/reforestation,berkeley carbon trading project
ACR246,afforestation/reforestation,berkeley carbon trading project
ACR247,improved forest management,berkeley carbon trading project
ACR248,improved forest management,berkeley carbon trading project
ACR249,improved forest management,berkeley carbon trading project
ACR250,improved forest management,berkeley carbon trading project
ACR251,improved forest management,berkeley carbon trading project
ACR252,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR253,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR254,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR255,improved forest management,berkeley carbon trading project
ACR256,improved forest management,berkeley carbon trading project
ACR257,improved forest management,berkeley carbon trading project
ACR258,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR259,manure methane digester,berkeley carbon trading project
ACR260,improved forest management,berkeley carbon trading project
ACR261,sf6 replacement,berkeley carbon trading project
ACR262,improved forest management,berkeley carbon trading project
ACR263,truck stop electrification,berkeley carbon trading project
ACR264,truck stop electrification,berkeley carbon trading project
ACR265,avoided forest conversion,berkeley carbon trading project
ACR266,avoided forest conversion,berkeley carbon trading project
ACR267,improved forest management,berkeley carbon trading project
ACR268,avoided forest conversion,berkeley carbon trading project
ACR269,avoided forest conversion,berkeley carbon trading project
ACR270,avoided forest conversion,berkeley carbon trading project
ACR271,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR272,improved forest management,berkeley carbon trading project
ACR273,improved forest management,berkeley carbon trading project
ACR274,improved forest management,berkeley carbon trading project
ACR275,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR276,improved forest management,berkeley carbon trading project
ACR277,improved forest management,berkeley carbon trading project
ACR278,improved forest management,berkeley carbon trading project
ACR279,improved forest management,berkeley carbon trading project
ACR280,improved forest management,berkeley carbon trading project
ACR281,improved forest management,berkeley carbon trading project
ACR282,improved forest management,berkeley carbon trading project
ACR283,manure methane digester,berkeley carbon trading project
ACR284,improved forest management,berkeley carbon trading project
ACR285,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR286,improved forest management,berkeley carbon trading project
ACR287,avoided forest conversion,berkeley carbon trading project
ACR288,improved forest management,berkeley carbon trading project
ACR289,improved forest management,berkeley carbon trading project
ACR290,improved forest management,berkeley carbon trading project
ACR291,improved forest management,berkeley carbon trading project
ACR292,improved forest management,berkeley carbon trading project
ACR293,improved forest management,berkeley carbon trading project
ACR296,improved forest management,berkeley carbon trading project
ACR297,improved forest management,berkeley carbon trading project
ACR298,improved forest management,berkeley carbon trading project
ACR299,improved forest management,berkeley carbon trading project
ACR300,improved forest management,berkeley carbon trading project
ACR301,improved forest management,berkeley carbon trading project
ACR302,improved forest management,berkeley carbon trading project
ACR303,improved forest management,berkeley carbon trading project
ACR304,improved forest management,berkeley carbon trading project
ACR305,improved forest management,berkeley carbon trading project
ACR306,improved forest management,berkeley carbon trading project
ACR307,improved forest management,berkeley carbon trading project
ACR308,improved forest management,berkeley carbon trading project
ACR309,improved forest management,berkeley carbon trading project
ACR310,hfc refrigerant reclamation,berkeley carbon trading project
ACR311,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR312,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR313,manure methane digester,berkeley carbon trading project
ACR314,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR315,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR316,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR322,manure methane digester,berkeley carbon trading project
ACR323,manure methane digester,berkeley carbon trading project
ACR324,improved forest management,berkeley carbon trading project
ACR342,mine methane capture,berkeley carbon trading project
ACR343,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR348,hfc replacement in foam production,berkeley carbon trading project
ACR349,manure methane digester,berkeley carbon trading project
ACR350,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR351,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR352,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR353,manure methane digester,berkeley carbon trading project
ACR354,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR355,manure methane digester,berkeley carbon trading project
ACR356,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR357,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR358,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR359,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR360,improved forest management,berkeley carbon trading project
ACR361,improved forest management,berkeley carbon trading project
ACR362,hfc replacement in foam production,berkeley carbon trading project
ACR363,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR365,hfc replacement in foam production,berkeley carbon trading project
ACR366,hfc replacement in foam production,berkeley carbon trading project
ACR367,mine methane capture,berkeley carbon trading project
ACR368,improved forest management,berkeley carbon trading project
ACR369,hfc replacement in foam production,berkeley carbon trading project
ACR370,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR371,improved forest management,berkeley carbon trading project
ACR372,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR373,improved forest management,berkeley carbon trading project
ACR374,improved forest management,berkeley carbon trading project
ACR375,improved forest management,berkeley carbon trading project
ACR376,improved forest management,berkeley carbon trading project
ACR377,improved forest management,berkeley carbon trading project
ACR378,improved forest management,berkeley carbon trading project
ACR379,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR380,nitrogen management,berkeley carbon trading project
ACR382,oil recycling,berkeley carbon trading project
ACR383,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR385,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR386,improved forest management,berkeley carbon trading project
ACR387,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR388,mine methane capture,berkeley carbon trading project
ACR389,improved forest management,berkeley carbon trading project
ACR390,manure methane digester,berkeley carbon trading project
ACR392,manure methane digester,berkeley carbon trading project
ACR393,improved forest management,berkeley carbon trading project
ACR394,improved forest management,berkeley carbon trading project
ACR395,improved forest management,berkeley carbon trading project
ACR396,improved forest management,berkeley carbon trading project
ACR398,improved forest management,berkeley carbon trading project
ACR400,mine methane capture,berkeley carbon trading project
ACR401,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR402,mine methane capture,berkeley carbon trading project
ACR403,mine methane capture,berkeley carbon trading project
ACR404,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR406,improved forest management,berkeley carbon trading project
ACR407,mine methane capture,berkeley carbon trading project
ACR408,manure methane digester,berkeley carbon trading project
ACR410,wetland restoration,berkeley carbon trading project
ACR411,landfill methane,berkeley carbon trading project
ACR412,improved forest management,berkeley carbon trading project
ACR413,improved forest management,berkeley carbon trading project
ACR416,improved forest management,berkeley carbon trading project
ACR417,improved forest management,berkeley carbon trading project
ACR418,mine methane capture,berkeley carbon trading project
ACR419,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR420,improved forest management,berkeley carbon trading project
ACR422,improved forest management,berkeley carbon trading project
ACR423,improved forest management,berkeley carbon trading project
ACR424,improved forest management,berkeley carbon trading project
ACR425,improved forest management,berkeley carbon trading project
ACR426,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR427,improved forest management,berkeley carbon trading project
ACR428,improved forest management,berkeley carbon trading project
ACR429,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR430,wetland restoration,berkeley carbon trading project
ACR431,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR432,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR433,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR435,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR436,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR437,improved forest management,berkeley carbon trading project
ACR438,improved forest management,berkeley carbon trading project
ACR439,improved forest management,berkeley carbon trading project
ACR440,hfc replacement in foam production,berkeley carbon trading project
ACR441,improved forest management,berkeley carbon trading project
ACR442,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR443,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR444,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR445,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR446,hfc replacement in foam production,berkeley carbon trading project
ACR447,hfc replacement in foam production,berkeley carbon trading project
ACR448,hfc replacement in foam production,berkeley carbon trading project
ACR449,hfc replacement in foam production,berkeley carbon trading project
ACR450,hfc replacement in foam production,berkeley carbon trading project
ACR451,hfc replacement in foam production,berkeley carbon trading project
ACR454,hfc replacement in foam production,berkeley carbon trading project
ACR455,hfc replacement in foam production,berkeley carbon trading project
ACR456,improved forest management,berkeley carbon trading project
ACR457,hfc replacement in foam production,berkeley carbon trading project
ACR458,improved forest management,berkeley carbon trading project
ACR459,improved forest management,berkeley carbon trading project
ACR461,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR462,hfc replacement in foam production,berkeley carbon trading project
ACR463,hfc replacement in foam production,berkeley carbon trading project
ACR464,hfc replacement in foam production,berkeley carbon trading project
ACR465,hfc replacement in foam production,berkeley carbon trading project
ACR466,hfc replacement in foam production,berkeley carbon trading project
ACR467,manure methane digester,berkeley carbon trading project
ACR468,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR469,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR470,mine methane capture,berkeley carbon trading project
ACR471,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR472,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR473,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR474,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR475,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR476,improved forest management,berkeley carbon trading project
ACR477,improved forest management,berkeley carbon trading project
ACR479,advanced refrigerants,berkeley carbon trading project
ACR480,advanced refrigerants,berkeley carbon trading project
ACR481,advanced refrigerants,berkeley carbon trading project
ACR482,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR483,improved forest management,berkeley carbon trading project
ACR485,hfc replacement in foam production,berkeley carbon trading project
ACR486,hfc replacement in foam production,berkeley carbon trading project
ACR487,hfc replacement in foam production,berkeley carbon trading project
ACR488,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR491,hfc replacement in foam production,berkeley carbon trading project
ACR492,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR493,mine methane capture,berkeley carbon trading project
ACR495,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR496,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR497,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR498,improved forest management,berkeley carbon trading project
ACR499,improved forest management,berkeley carbon trading project
ACR500,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR501,hfc replacement in foam production,berkeley carbon trading project
ACR502,hfc replacement in foam production,berkeley carbon trading project
ACR503,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR505,improved forest management,berkeley carbon trading project
ACR506,improved forest management,berkeley carbon trading project
ACR507,improved forest management,berkeley carbon trading project
ACR508,improved forest management,berkeley carbon trading project
ACR509,improved forest management,berkeley carbon trading project
ACR510,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR514,hfc replacement in foam production,berkeley carbon trading project
ACR515,hfc replacement in foam production,berkeley carbon trading project
ACR516,hfc replacement in foam production,berkeley carbon trading project
ACR517,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR518,improved forest management,berkeley carbon trading project
ACR519,improved forest management,berkeley carbon trading project
ACR520,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR521,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR522,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR523,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR526,advanced refrigerants,berkeley carbon trading project
ACR527,advanced refrigerants,berkeley carbon trading project
ACR528,advanced refrigerants,berkeley carbon trading project
ACR529,advanced refrigerants,berkeley carbon trading project
ACR530,advanced refrigerants,berkeley carbon trading project
ACR531,advanced refrigerants,berkeley carbon trading project
ACR532,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR533,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR534,improved forest management,berkeley carbon trading project
ACR535,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR536,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR537,mine methane capture,berkeley carbon trading project
ACR538,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR539,improved forest management,berkeley carbon trading project
ACR540,mine methane capture,berkeley carbon trading project
ACR542,mine methane capture,berkeley carbon trading project
ACR543,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR544,mine methane capture,berkeley carbon trading project
ACR545,mine methane capture,berkeley carbon trading project
ACR546,mine methane capture,berkeley carbon trading project
ACR547,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR548,mine methane capture,berkeley carbon trading project
ACR549,improved forest management,berkeley carbon trading project
ACR550,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR551,hfc replacement in foam production,berkeley carbon trading project
ACR552,hfc replacement in foam production,berkeley carbon trading project
ACR553,improved forest management,berkeley carbon trading project
ACR554,improved forest management,berkeley carbon trading project
ACR555,improved forest management,berkeley carbon trading project
ACR556,hfc replacement in foam production,berkeley carbon trading project
ACR557,hfc refrigerant reclamation,berkeley carbon trading project
ACR558,improved forest management,berkeley carbon trading project
ACR560,mine methane capture,berkeley carbon trading project
ACR561,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR562,improved forest management,berkeley carbon trading project
ACR564,hfc refrigerant reclamation,berkeley carbon trading project
ACR566,improved forest management,berkeley carbon trading project
ACR568,hfc replacement in foam production,berkeley carbon trading project
ACR569,improved forest management,berkeley carbon trading project
ACR570,improved forest management,berkeley carbon trading project
ACR571,improved forest management,berkeley carbon trading project
ACR572,mine methane capture,berkeley carbon trading project
ACR573,hfc refrigerant reclamation,berkeley carbon trading project
ACR574,improved forest management,berkeley carbon trading project
ACR576,improved forest management,berkeley carbon trading project
ACR577,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR578,mine methane capture,berkeley carbon trading project
ACR579,improved forest management,berkeley carbon trading project
ACR580,mine methane capture,berkeley carbon trading project
ACR581,wetland restoration,berkeley carbon trading project
ACR582,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR583,hfc refrigerant reclamation,berkeley carbon trading project
ACR584,hfc refrigerant reclamation,berkeley carbon trading project
ACR585,hfc refrigerant reclamation,berkeley carbon trading project
ACR586,improved forest management,berkeley carbon trading project
ACR587,improved forest management,berkeley carbon trading project
ACR588,improved forest management,berkeley carbon trading project
ACR589,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR590,improved forest management,berkeley carbon trading project
ACR591,hfc replacement in foam production,berkeley carbon trading project
ACR592,improved forest management,berkeley carbon trading project
ACR593,mine methane capture,berkeley carbon trading project
ACR594,mine methane capture,berkeley carbon trading project
ACR595,improved forest management,berkeley carbon trading project
ACR596,improved forest management,berkeley carbon trading project
ACR597,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR598,advanced refrigerants,berkeley carbon trading project
ACR599,advanced refrigerants,berkeley carbon trading project
ACR600,advanced refrigerants,berkeley carbon trading project
ACR601,improved forest management,berkeley carbon trading project
ACR602,improved forest management,berkeley carbon trading project
ACR603,improved forest management,berkeley carbon trading project
ACR604,improved forest management,berkeley carbon trading project
ACR606,hfc replacement in foam production,berkeley carbon trading project
ACR607,mine methane capture,berkeley carbon trading project
ACR608,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR609,mine methane capture,berkeley carbon trading project
ACR610,mine methane capture,berkeley carbon trading project
ACR611,mine methane capture,berkeley carbon trading project
ACR613,improved forest management,berkeley carbon trading project
ACR614,improved forest management,berkeley carbon trading project
ACR615,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR616,improved forest management,berkeley carbon trading project
ACR617,improved forest management,berkeley carbon trading project
ACR618,improved forest management,berkeley carbon trading project
ACR619,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR620,hfc replacement in foam production,berkeley carbon trading project
ACR621,hfc replacement in foam production,berkeley carbon trading project
ACR622,hfc replacement in foam production,berkeley carbon trading project
ACR623,hfc replacement in foam production,berkeley carbon trading project
ACR624,hfc replacement in foam production,berkeley carbon trading project
ACR625,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR627,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR628,improved forest management,berkeley carbon trading project
ACR629,hfc refrigerant reclamation,berkeley carbon trading project
ACR630,mine methane capture,berkeley carbon trading project
ACR631,hfc refrigerant reclamation,berkeley carbon trading project
ACR632,improved forest management,berkeley carbon trading project
ACR633,improved forest management,berkeley carbon trading project
ACR634,improved forest management,berkeley carbon trading project
ACR636,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR637,improved forest management,berkeley carbon trading project
ACR638,improved forest management,berkeley carbon trading project
ACR639,improved forest management,berkeley carbon trading project
ACR640,advanced refrigerants,berkeley carbon trading project
ACR641,advanced refrigerants,berkeley carbon trading project
ACR642,advanced refrigerants,berkeley carbon trading project
ACR643,improved forest management,berkeley carbon trading project
ACR644,mine methane capture,berkeley carbon trading project
ACR645,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR646,hfc refrigerant reclamation,berkeley carbon trading project
ACR647,improved forest management,berkeley carbon trading project
